MQ3_raw,MQ135_raw,MQ2_raw,label
930,1253,326,Healthy
929,1251,330,Healthy
929,1251,330,Healthy
926,1251,330,Healthy
928,1252,331,Healthy
928,1251,331,Healthy
931,1253,327,Healthy
930,1254,332,Healthy
926,1254,331,Healthy
928,1251,331,Healthy
929,1250,327,Healthy
926,1251,326,Healthy
928,1251,327,Healthy
928,1253,326,Healthy
927,1251,327,Healthy
931,1250,326,Healthy
926,1250,331,Healthy
923,1250,327,Healthy
928,1254,330,Healthy
926,1251,327,Healthy
926,1251,327,Healthy
934,1253,328,Healthy
927,1253,327,Healthy
928,1254,329,Healthy
933,1253,330,Healthy
931,1251,331,Healthy
929,1253,331,Healthy
931,1253,327,Healthy
933,1254,327,Healthy
930,1254,331,Healthy
934,1255,329,Healthy
933,1255,330,Healthy
930,1255,331,Healthy
926,1251,326,Healthy
933,1255,329,Healthy
931,1255,330,Healthy
930,1253,327,Healthy
934,1255,326,Healthy
927,1254,331,Healthy
933,1253,327,Healthy
931,1253,328,Healthy
933,1254,330,Healthy
929,1253,330,Healthy
929,1252,329,Healthy
929,1254,330,Healthy
926,1251,325,Healthy
926,1249,330,Healthy
928,1250,328,Healthy
929,1251,329,Healthy
928,1251,330,Healthy
928,1251,326,Healthy
927,1251,326,Healthy
933,1254,329,Healthy
934,1251,329,Healthy
934,1255,330,Healthy
928,1253,331,Healthy
926,1251,326,Healthy
930,1254,326,Healthy
928,1253,323,Healthy
927,1254,325,Healthy
930,1253,330,Healthy
923,1250,327,Healthy
929,1254,330,Healthy
926,1251,327,Healthy
931,1253,327,Healthy
925,1251,327,Healthy
929,1251,326,Healthy
925,1252,323,Healthy
928,1251,323,Healthy
927,1253,325,Healthy
931,1250,326,Healthy
931,1253,326,Healthy
928,1253,326,Healthy
927,1251,325,Healthy
930,1253,330,Healthy
930,1251,323,Healthy
928,1252,325,Healthy
927,1250,325,Healthy
927,1251,326,Healthy
927,1251,324,Healthy
929,1252,329,Healthy
929,1250,327,Healthy
932,1253,329,Healthy
930,1251,330,Healthy
933,1253,330,Healthy
928,1251,330,Healthy
929,1251,327,Healthy
931,1254,333,Healthy
929,1255,331,Healthy
928,1253,329,Healthy
928,1253,330,Healthy
932,1254,327,Healthy
928,1243,325,Healthy
926,1250,325,Healthy
926,1248,323,Healthy
930,1251,325,Healthy
928,1251,326,Healthy
930,1253,326,Healthy
927,1249,324,Healthy
937,1252,327,Healthy
935,1253,326,Healthy
934,1254,325,Healthy
935,1252,325,Healthy
935,1255,326,Healthy
934,1257,328,Healthy
935,1254,329,Healthy
937,1258,330,Healthy
935,1253,331,Healthy
938,1254,331,Healthy
934,1251,330,Healthy
938,1253,327,Healthy
937,1254,331,Healthy
934,1254,328,Healthy
937,1252,330,Healthy
937,1254,327,Healthy
934,1251,325,Healthy
937,1253,324,Healthy
934,1251,325,Healthy
937,1254,330,Healthy
941,1252,331,Healthy
938,1256,335,Healthy
937,1254,327,Healthy
937,1253,331,Healthy
